lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
0.001,0.01,0.001,99,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,0.17455866932868958,0.5914689898490906,0.031124919652938843,0.03080790676176548,0.06850991398096085,0.16220664978027344,0.00392806064337492,0.024307336658239365,17.16152000427246,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1981.0,0,,
0.001,0.01,0.001,199,,,,,,,,,,,,,,,,,,,,,,,,
,,,199,0.14760488271713257,0.5162517428398132,0.025242943316698074,0.02879425324499607,0.04624538868665695,0.10910715162754059,0.00401550717651844,0.021386370062828064,30.701400756835938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2153.0,0,,
0.001,0.01,0.001,299,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,0.12994319200515747,0.4614408612251282,0.021732550114393234,0.02585461363196373,0.03413661569356918,0.07969126105308533,0.0047768717631697655,0.019297180697321892,48.82719039916992,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2322.0,0,,
0.001,0.01,0.001,399,,,,,,,,,,,,,,,,,,,,,,,,
,,,399,0.11789987981319427,0.43587443232536316,0.02145269885659218,0.023896286264061928,0.027165301144123077,0.05479667708277702,0.00699224416166544,0.0192293468862772,66.42579650878906,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2508.0,0,,
0.001,0.01,0.001,499,,,,,,,,,,,,,,,,,,,,,,,,
,,,499,0.10103700309991837,0.3968714773654938,0.016553200781345367,0.023009905591607094,0.020567676052451134,0.04917910322546959,0.004098846111446619,0.017368530854582787,82.29624938964844,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,2777.0,0,,
0.0009762902393018333,0.009762902393018327,0.0009762902393018333,599,,,,,,,,,,,,,,,,,,,,,,,,
,,,599,0.09091012179851532,0.38055506348609924,0.01612372323870659,0.02206963486969471,0.021633364260196686,0.04685939848423004,0.004477908834815025,0.016784988343715668,95.75933837890625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,3007.0,0,,
0.0009529116391387575,0.009529116391387564,0.0009529116391387575,699,,,,,,,,,,,,,,,,,,,,,,,,
,,,699,0.09610623866319656,0.3987120985984802,0.017761074006557465,0.02130192518234253,0.01950547844171524,0.041286058723926544,0.005811432376503944,0.016304101794958115,108.13533020019531,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,3258.0,0,,
0.0009300928714144201,0.00930092871414419,0.0009300928714144201,799,,,,,,,,,,,,,,,,,,,,,,,,
,,,799,0.11621655523777008,0.4064570665359497,0.01627599075436592,0.021857846528291702,0.016637347638607025,0.03674132749438286,0.007508228998631239,0.01733093522489071,120.7199935913086,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,3590.0,0,,
0.0009078205301781964,0.009078205301781956,0.0009078205301781964,899,,,,,,,,,,,,,,,,,,,,,,,,
,,,899,0.0831865593791008,0.36296266317367554,0.01426265574991703,0.021200012415647507,0.01719755120575428,0.03290529549121857,0.005688123870640993,0.016705304384231567,130.96578979492188,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4038.0,0,,
0.0008860815305032171,0.008860815305032167,0.0008860815305032171,999,,,,,,,,,,,,,,,,,,,,,,,,
,,,999,0.08786814659833908,0.3645171523094177,0.01926582120358944,0.022288760170340538,0.013978754170238972,0.03391479328274727,0.00488792872056365,0.015489473938941956,137.03933715820312,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,4507.0,0,,
0.0008648631007990185,0.00864863100799018,0.0008648631007990185,1099,,,,,,,,,,,,,,,,,,,,,,,,
,,,1099,0.09173717349767685,0.35466817021369934,0.016750136390328407,0.0225644800812006,0.014802173711359501,0.03268054500222206,0.004085627384483814,0.015834007412195206,146.61122131347656,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5112.0,0,,
0.0008441527753082735,0.008441527753082734,0.0008441527753082735,1199,,,,,,,,,,,,,,,,,,,,,,,,
,,,1199,0.07669739425182343,0.3476191759109497,0.014069957658648491,0.021315185353159904,0.009798049926757812,0.02696988545358181,0.005833068862557411,0.01644805073738098,163.9874725341797,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,6160.0,0,,
0.0008239383867832009,0.008239383867832016,0.0008239383867832009,1299,,,,,,,,,,,,,,,,,,,,,,,,
,,,1299,0.07346278429031372,0.3243286609649658,0.013609920628368855,0.027884460985660553,0.002342002699151635,0.026613151654601097,0.005657684523612261,0.016092833131551743,173.2096710205078,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0008042080593373492,0.008042080593373494,0.0008042080593373492,1399,,,,,,,,,,,,,,,,,,,,,,,,
,,,1399,0.07175188511610031,0.3237406611442566,0.015255365520715714,0.024563709273934364,0.001811070367693901,0.02699653059244156,0.0036671857815235853,0.014287762343883514,180.02352905273438,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0007849502014685493,0.007849502014685499,0.0007849502014685493,1499,,,,,,,,,,,,,,,,,,,,,,,,
,,,1499,0.060010116547346115,0.2955301105976105,0.015654368326067924,0.02233833819627762,0.000969333981629461,0.024049315601587296,0.006576170679181814,0.015472782775759697,184.839111328125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0007661534992489488,0.007661534992489494,0.0007661534992489488,1599,,,,,,,,,,,,,,,,,,,,,,,,
,,,1599,0.06038844585418701,0.3002077043056488,0.013449668884277344,0.020999373868107796,0.0009367189486511052,0.024209413677453995,0.006458171643316746,0.016056254506111145,190.03579711914062,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000747806909678114,0.007478069096781146,0.000747806909678114,1699,,,,,,,,,,,,,,,,,,,,,,,,
,,,1699,0.06320419162511826,0.3008061945438385,0.01310840342193842,0.02019484154880047,0.0009292933973483741,0.02488572709262371,0.005471198819577694,0.01466426532715559,189.53109741210938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0007298996541953055,0.007298996541953059,0.0007298996541953055,1799,,,,,,,,,,,,,,,,,,,,,,,,
,,,1799,0.05973516404628754,0.2922944724559784,0.013887681066989899,0.018769843503832817,0.0010677390964701772,0.024900682270526886,0.00745901744812727,0.014225997030735016,192.06109619140625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0007124212123471085,0.007124212123471088,0.0007124212123471085,1899,,,,,,,,,,,,,,,,,,,,,,,,
,,,1899,0.05966906249523163,0.29362088441848755,0.015318083576858044,0.019510533660650253,0.0012170039117336273,0.026245562359690666,0.0072198729030787945,0.012780917808413506,188.647216796875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006953613156067008,0.006953613156067014,0.0006953613156067008,1999,,,,,,,,,,,,,,,,,,,,,,,,
,,,1999,0.0637453943490982,0.304474800825119,0.014387233182787895,0.017496678978204727,0.0009219578350894153,0.024838099256157875,0.006353823468089104,0.013956544920802116,193.40321350097656,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006787099413411284,0.006787099413411296,0.0006787099413411284,2099,,,,,,,,,,,,,,,,,,,,,,,,
,,,2099,0.06127050518989563,0.29309317469596863,0.014373861253261566,0.019429294392466545,0.0012155694421380758,0.026636503636837006,0.004843055736273527,0.01447085291147232,191.56077575683594,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000662457306923042,0.006624573069230427,0.000662457306923042,2199,,,,,,,,,,,,,,,,,,,,,,,,
,,,2199,0.06173989176750183,0.28937774896621704,0.014352632686495781,0.018538963049650192,0.0011357881594449282,0.025878172367811203,0.005913864821195602,0.01345498114824295,192.16973876953125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006465938639834328,0.006465938639834335,0.0006465938639834328,2299,,,,,,,,,,,,,,,,,,,,,,,,
,,,2299,0.05964871495962143,0.2852587401866913,0.01270216517150402,0.018242672085762024,0.000983687350526452,0.025538623332977295,0.004425806924700737,0.013021430000662804,196.74005126953125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006311102928020011,0.0063111029280200175,0.0006311102928020011,2399,,,,,,,,,,,,,,,,,,,,,,,,
,,,2399,0.0540715716779232,0.27408868074417114,0.012360705062747002,0.016979970037937164,0.0008593381498940289,0.024199964478611946,0.007798139937222004,0.013356737792491913,196.83706665039062,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0006159974968318482,0.006159974968318494,0.0006159974968318482,2499,,,,,,,,,,,,,,,,,,,,,,,,
,,,2499,0.05170847475528717,0.2675354480743408,0.01180194690823555,0.016530882567167282,0.0009770866017788649,0.02514006197452545,0.0045518409460783005,0.013086534105241299,198.02816772460938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000601246597355289,0.006012465973552901,0.000601246597355289,2599,,,,,,,,,,,,,,,,,,,,,,,,
,,,2599,0.0496554896235466,0.26756784319877625,0.013216933235526085,0.016985343769192696,0.001257715979591012,0.02608872950077057,0.006726081483066082,0.013232076540589333,194.0911102294922,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005868489282676302,0.005868489282676306,0.0005868489282676302,2699,,,,,,,,,,,,,,,,,,,,,,,,
,,,2699,0.05358728766441345,0.2730840742588043,0.012690206989645958,0.01685336045920849,0.0011688362574204803,0.025553233921527863,0.006345486268401146,0.013258441351354122,196.4188995361328,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005727960309858642,0.005727960309858654,0.0005727960309858642,2799,,,,,,,,,,,,,,,,,,,,,,,,
,,,2799,0.05364135280251503,0.2727101147174835,0.011623474769294262,0.016389111056923866,0.0010935964528471231,0.024947747588157654,0.006805389188230038,0.012941455468535423,200.1016082763672,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005590796494792832,0.005590796494792843,0.0005590796494792832,2899,,,,,,,,,,,,,,,,,,,,,,,,
,,,2899,0.056572504341602325,0.2823268473148346,0.013581007719039917,0.015661945566534996,0.0009227453847415745,0.024573883041739464,0.0057664779014885426,0.01370781660079956,204.310546875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000545691725419082,0.005456917254190826,0.000545691725419082,2999,,,,,,,,,,,,,,,,,,,,,,,,
,,,2999,0.05097494274377823,0.26392289996147156,0.012495229952037334,0.015099204145371914,0.0010443766368553042,0.024970723316073418,0.005966893397271633,0.012036988511681557,202.4288787841797,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
,,,2999,,,,,,,,,,,,,,,,,,,,,,0,20.70053482055664,
0.0005326243934441199,0.00532624393444121,0.0005326243934441199,3099,,,,,,,,,,,,,,,,,,,,,,,,
,,,3099,0.04990294948220253,0.2632194757461548,0.012237436138093472,0.017548995092511177,0.0018685483373701572,0.026552921161055565,0.0070309024304151535,0.01347627304494381,197.87591552734375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.000519869976540049,0.005198699765400499,0.000519869976540049,3199,,,,,,,,,,,,,,,,,,,,,,,,
,,,3199,0.04881772771477699,0.2557728588581085,0.011492345482110977,0.01636277139186859,0.0008757792529650033,0.02361505851149559,0.00877310335636139,0.015328175388276577,197.69161987304688,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0005074209815290884,0.0050742098152908996,0.0005074209815290884,3299,,,,,,,,,,,,,,,,,,,,,,,,
,,,3299,0.046993374824523926,0.25407853722572327,0.011647211387753487,0.016076356172561646,0.001090380479581654,0.024333450943231583,0.007997572422027588,0.013171074911952019,201.9631805419922,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004952700946678131,0.004952700946678146,0.0004952700946678131,3399,,,,,,,,,,,,,,,,,,,,,,,,
,,,3399,0.036466434597969055,0.22953900694847107,0.013647085055708885,0.015705307945609093,0.001013070112094283,0.02403411641716957,0.006225896067917347,0.011443786323070526,199.2274169921875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004834101773503484,0.004834101773503496,0.0004834101773503484,3499,,,,,,,,,,,,,,,,,,,,,,,,
,,,3499,0.047794409096241,0.25537732243537903,0.01153198815882206,0.014961197040975094,0.0009744620183482766,0.02390269935131073,0.007619704119861126,0.012197533622384071,202.0815887451172,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00047183426191446616,0.004718342619144669,0.00047183426191446616,3599,,,,,,,,,,,,,,,,,,,,,,,,
,,,3599,0.04584950953722,0.2513165771961212,0.012217197567224503,0.014990158379077911,0.0012767158914357424,0.026011494919657707,0.007852079346776009,0.011799810454249382,201.30294799804688,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00046053554754810433,0.004605355475481049,0.00046053554754810433,3699,,,,,,,,,,,,,,,,,,,,,,,,
,,,3699,0.04337392747402191,0.24184942245483398,0.011555695906281471,0.01422321330755949,0.0008780972566455603,0.02436782605946064,0.006773003842681646,0.013296626508235931,200.40162658691406,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004495073962939136,0.004495073962939145,0.0004495073962939136,3799,,,,,,,,,,,,,,,,,,,,,,,,
,,,3799,0.04806328937411308,0.24941569566726685,0.010560158640146255,0.014433644711971283,0.0012842686846852303,0.026010461151599884,0.009297696873545647,0.012513197027146816,202.87017822265625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00043874332914947955,0.0043874332914948,0.00043874332914947955,3899,,,,,,,,,,,,,,,,,,,,,,,,
,,,3899,0.041222453117370605,0.23962025344371796,0.010805465281009674,0.01460359152406454,0.0009167257812805474,0.023752067238092422,0.005535031668841839,0.011903423815965652,201.95376586914062,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004282370222609282,0.004282370222609286,0.0004282370222609282,3999,,,,,,,,,,,,,,,,,,,,,,,,
,,,3999,0.03692082688212395,0.22731302678585052,0.012116774916648865,0.014400300569832325,0.001039177761413157,0.02505328692495823,0.006423114333301783,0.011825843714177608,203.2108917236328,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0004179823032076846,0.004179823032076844,0.0004179823032076846,4099,,,,,,,,,,,,,,,,,,,,,,,,
,,,4099,0.04081675782799721,0.23995117843151093,0.012440275400876999,0.015752868726849556,0.001018029055558145,0.024650512263178825,0.0055980682373046875,0.011819854378700256,199.8162384033203,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00040797314737619497,0.004079731473761952,0.00040797314737619497,4199,,,,,,,,,,,,,,,,,,,,,,,,
,,,4199,0.0394216887652874,0.23885968327522278,0.011387070640921593,0.015351185575127602,0.0012667427072301507,0.02567833662033081,0.004566526506096125,0.010400572791695595,199.5487823486328,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003982036744204882,0.003982036744204886,0.0003982036744204882,4299,,,,,,,,,,,,,,,,,,,,,,,,
,,,4299,0.04782295227050781,0.2371339350938797,0.011704080738127232,0.01487309392541647,0.0013089976273477077,0.025351762771606445,0.006926248781383038,0.010915066115558147,198.54942321777344,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003886681448074893,0.003886681448074897,0.0003886681448074893,4399,,,,,,,,,,,,,,,,,,,,,,,,
,,,4399,0.04527108743786812,0.24953234195709229,0.011823745444417,0.014178615994751453,0.0008713913266547024,0.024233438074588776,0.008314669132232666,0.014122435823082924,199.49607849121094,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00037936095644506456,0.003793609564450651,0.00037936095644506456,4499,,,,,,,,,,,,,,,,,,,,,,,,
,,,4499,0.038760848343372345,0.22552219033241272,0.010305406525731087,0.01395019143819809,0.0014234172413125634,0.025766383856534958,0.005196469835937023,0.011851286515593529,198.3740692138672,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00037027664139081026,0.0037027664139081093,0.00037027664139081026,4599,,,,,,,,,,,,,,,,,,,,,,,,
,,,4599,0.03889372572302818,0.2210368663072586,0.011588901281356812,0.01390286348760128,0.0012927174102514982,0.025740884244441986,0.004950564354658127,0.010156417265534401,197.66946411132812,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003614098626396544,0.0036140986263965493,0.0003614098626396544,4699,,,,,,,,,,,,,,,,,,,,,,,,
,,,4699,0.043748676776885986,0.23580478131771088,0.011394926346838474,0.01410613488405943,0.0012295133201405406,0.026132414117455482,0.0037302898708730936,0.010474761947989464,202.11898803710938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003527554109883842,0.0035275541098838455,0.0003527554109883842,4799,,,,,,,,,,,,,,,,,,,,,,,,
,,,4799,0.04079257324337959,0.24211378395557404,0.01295939926058054,0.013513085432350636,0.0011604445753619075,0.024705752730369568,0.00703894067555666,0.011258198879659176,199.36863708496094,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00034430820197525665,0.0034430820197525708,0.00034430820197525665,4899,,,,,,,,,,,,,,,,,,,,,,,,
,,,4899,0.035294223576784134,0.21574470400810242,0.011042606085538864,0.01345181092619896,0.0009487949428148568,0.023728273808956146,0.006681150756776333,0.01155846007168293,200.40878295898438,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00033606327289289366,0.003360632728928936,0.00033606327289289366,4999,,,,,,,,,,,,,,,,,,,,,,,,
